[EXP] admit W_est_GB=31.3655 B_GB=32 n_needed=49 top: and=7.9588 to=7.49739 of=7.47714 a=6.40228 when=0.654245 first=0.29213 process=0.162717 benefit*=0.109023 early=0.0851183 impact=0.0782634
[EXP] at-admit large_bytes_GB=31.3655 VmRSS_GB=14.0972 VmHWM_GB=14.0975 comp_peak_GB=3.96945 comp_now_GB=3.96684
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00712946
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0201227
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00583778
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0582559
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=7.47714
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0259643
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0396222
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0851183
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0338379
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.000421064
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.654245
[EXP] backstop evicting PINNED feature use_count=3 bytes_GB=7.49739
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00479726
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0040485
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0483732
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0223873
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00764832
[EXP] backstop evicting PINNED feature use_count=3 bytes_GB=7.9588
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00711857
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00610348
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0105015
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.162717
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0135922
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.00307066
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0316618
[EXP] backstop evicting PINNED feature use_count=3 bytes_GB=0.0306831
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.0782634
[EXP] backstop evicting PINNED feature use_count=2 bytes_GB=0.29213
